"co_pcdt","sg_procedimentoa","sg_procedimentob","qt_cns_paciente","sg_procedimentob2"
27,GABA300,MORF10,4385,MORF10
27,GABA300,MORF30,1955,MORF30
27,MORF10,CODE30,2287,CODE30
27,MORF10,GABA300,3348,GABA300
27,MORF10,MORF30,10006,MORF30
28,GOSS1080,FORM1240060,56,FORM1240060
28,GOSS1080,GOSS360,988,GOSS360
28,GOSS1080,ISOT20,84,ISOT20
28,GOSS1080,LEUP375,69,LEUP375
28,GOSS360,GOSS1080,1137,GOSS1080
28,GOSS360,LEUP375,64,LEUP375
28,LEUP375,GOSS1080,100,GOSS1080
28,LEUP375,GOSS360,121,GOSS360
28,LEUP375,LEUP1125,94,LEUP1125
28,LEUP375,TRIP375,76,TRIP375
29,LAMO100,CLOB10,2331,CLOB10
29,LAMO100,LAMO25,2442,LAMO25
29,LAMO100,LAMO50,2869,LAMO50
29,LAMO100,TOPI100,3676,TOPI100
29,LAMO25,LAMO100,3517,LAMO100
29,TOPI100,TOPI50,6296,TOPI50
29,TOPI25,TOPI100,2827,TOPI100
29,TOPI25,TOPI50,6360,TOPI50
29,TOPI50,TOPI100,8145,TOPI100
29,TOPI50,TOPI25,3079,TOPI25
30,RILU50,AMAN100,19,AMAN100
30,RILU50,ATOR20,22,ATOR20
30,RILU50,CODE30,27,CODE30
30,RILU50,FORM12400,22,FORM12400
30,RILU50,FORM1240060,24,FORM1240060
30,RILU50,GABA300,234,GABA300
30,RILU50,GABA400,20,GABA400
30,RILU50,IMUN50,163,IMUN50
30,RILU50,QUET100,20,QUET100
30,RILU50,QUET25,33,QUET25
30,RILU50,TOXI100,63,TOXI100
30,RILU50,TOXI500,72,TOXI500
31,BETA11200000044,FING05,630,FING05
31,BETA11200000044,GLAT20,1199,GLAT20
31,BETA11200000044,NATA300,544,NATA300
31,BETA1600000022,BETA11200000044,1642,BETA11200000044
31,BETA1600000030,FING05,576,FING05
31,BETA1600000030,GLAT20,1467,GLAT20
31,BETA19600000300,GLAT20,959,GLAT20
31,GLAT20,FING05,1233,FING05
31,GLAT20,NATA300,1414,NATA300
31,NATA300,FING05,573,FING05
32,AZAT50,METO25,79,METO25
32,AZAT50,SILD25,84,SILD25
32,AZAT50,SILD50,69,SILD50
32,METO25,AZAT50,67,AZAT50
32,METO25,SILD25,62,SILD25
32,PENI250,AZAT50,158,AZAT50
32,PENI250,METO25,77,METO25
32,SILD25,AZAT50,61,AZAT50
32,SILD25,SILD50,81,SILD50
32,SILD50,SILD25,51,SILD25
33,TOXI100,GABA300,84,GABA300
33,TOXI100,TOXI500,3639,TOXI500
33,TOXI500,ATOR20,146,ATOR20
33,TOXI500,CLOB10,104,CLOB10
33,TOXI500,GABA300,344,GABA300
33,TOXI500,LAMO100,99,LAMO100
33,TOXI500,RISP1,95,RISP1
33,TOXI500,TOPI25,101,TOPI25
33,TOXI500,TOPI50,137,TOPI50
33,TOXI500,TOXI100,2603,TOXI100
34,ADAL40,ETAN50,1215,ETAN50
34,ADAL40,INFL1010,522,INFL1010
34,ADAL40,METO25,1375,METO25
34,ADAL40,SULF500,859,SULF500
34,ETAN50,ADAL40,966,ADAL40
34,ETAN50,ETAN25,644,ETAN25
34,ETAN50,METO25,642,METO25
34,METO25,ADAL40,534,ADAL40
34,SULF500,ADAL40,1289,ADAL40
34,SULF500,ETAN50,749,ETAN50
