"co_pcdt","co_uf_ibge_estabelecimento","nu_ano_competencia","qt_cnes_estabelecimento"
4,25,2010,1
4,25,2011,1
4,25,2012,1
4,25,2013,2
4,25,2014,2
4,25,2015,2
4,25,2016,2
4,25,2017,2
4,25,2018,1
4,25,2019,1
4,26,2009,1
4,26,2014,1
4,26,2015,1
4,26,2016,1
4,26,2017,1
4,26,2018,1
4,26,2019,1
4,27,2008,1
4,27,2009,1
4,27,2010,1
4,27,2011,1
4,27,2012,1
4,27,2013,1
4,27,2014,1
4,27,2015,1
4,27,2016,1
4,27,2017,1
4,27,2018,1
4,27,2019,1
4,28,2018,1
4,29,2008,1
4,29,2009,1
4,29,2010,1
4,29,2011,1
4,29,2012,1
4,29,2013,1
4,29,2014,1
4,29,2015,1
4,29,2016,1
4,29,2018,1
4,31,2009,3
4,31,2010,3
4,31,2011,2
4,31,2012,2
4,31,2014,3
4,31,2015,6
4,31,2016,7
4,31,2017,7
4,31,2018,6
4,31,2019,6
4,32,2008,2
4,32,2009,2
4,32,2010,1
4,32,2011,1
4,32,2012,3
4,32,2013,3
4,32,2014,2
4,32,2017,1
4,32,2018,1
4,32,2019,2
4,33,2008,1
4,33,2009,1
4,33,2010,1
4,33,2011,1
4,33,2012,1
4,33,2013,1
4,33,2014,1
4,33,2015,1
4,33,2016,1
4,33,2017,1
4,33,2018,1
4,33,2019,1
4,35,2008,20
4,35,2009,21
4,35,2010,15
4,35,2011,14
4,35,2012,13
4,35,2013,20
4,35,2014,24
4,35,2015,25
4,35,2016,23
4,35,2017,22
4,35,2018,23
4,35,2019,22
4,41,2008,1
4,41,2009,1
4,41,2010,2
4,41,2011,1
4,41,2012,2
4,41,2013,2
4,41,2014,1
4,41,2015,3
4,41,2016,6
4,41,2017,6
4,41,2018,7
4,41,2019,6
4,42,2008,1
4,42,2009,1
4,42,2010,1
4,42,2011,1
4,42,2012,1
4,42,2013,1
4,42,2014,1
4,42,2015,1
4,42,2016,1
4,42,2017,1
4,42,2018,1
4,42,2019,1
4,43,2013,3
4,43,2014,2
4,43,2015,1
4,43,2016,1
4,43,2017,2
4,43,2018,5
4,43,2019,1
4,50,2008,1
4,50,2009,1
4,50,2010,1
4,50,2012,1
4,50,2013,1
4,50,2015,1
4,50,2016,1
4,50,2017,1
4,50,2018,1
4,50,2019,1
4,51,2008,1
4,51,2009,1
4,51,2010,1
4,51,2011,1
4,51,2012,1
4,51,2013,1
4,51,2014,1
4,51,2015,1
4,51,2016,1
4,51,2017,1
4,51,2018,1
4,51,2019,1
4,52,2008,2
4,52,2010,1
4,52,2011,1
4,52,2012,1
4,52,2013,1
4,52,2014,2
4,52,2015,3
4,52,2016,3
4,52,2017,1
4,52,2018,1
4,52,2019,1
4,53,2014,1
4,53,2015,2
4,53,2016,2
4,53,2017,2
4,53,2018,2
4,53,2019,2
6,12,2008,1
6,12,2009,1
6,12,2010,1
6,12,2011,1
6,12,2012,1
6,12,2013,1
6,12,2014,1
6,12,2015,1
6,17,2017,1
6,21,2014,1
6,21,2015,1
6,22,2010,1
6,22,2011,1
6,22,2012,1
6,22,2013,1
6,22,2014,1
6,22,2015,1
6,22,2016,1
6,25,2010,1
6,25,2011,1
6,26,2008,1
6,26,2009,1
6,26,2010,2
6,26,2011,2
6,26,2012,1
6,26,2013,1
6,26,2014,1
6,26,2015,1
6,26,2016,1
6,26,2017,1
6,26,2018,1
6,27,2008,1
6,27,2009,1
6,27,2010,1
6,27,2011,1
6,27,2012,1
6,27,2013,1
6,27,2014,1
6,27,2015,1
6,27,2016,1
6,28,2008,1
6,29,2008,1
6,29,2009,1
6,29,2010,1
6,29,2011,1
6,29,2012,1
6,29,2013,1
6,29,2014,1
6,29,2015,1
6,29,2018,2
6,29,2019,1
6,31,2008,9
6,31,2009,11
6,31,2010,14
6,31,2011,16
6,31,2012,16
6,31,2013,17
6,31,2014,18
6,31,2015,13
6,31,2016,3
6,32,2008,4
6,32,2009,3
6,32,2010,4
6,32,2011,3
6,32,2012,4
6,32,2013,4
6,32,2014,7
6,32,2015,7
6,32,2016,7
6,32,2018,7
6,32,2019,6
6,33,2008,1
6,33,2009,1
6,33,2010,1
6,33,2011,1
6,33,2012,1
6,33,2013,1
6,33,2014,1
6,33,2015,1
6,33,2016,1
6,33,2018,1
6,33,2019,1
6,35,2008,16
6,35,2009,15
6,35,2010,18
6,35,2011,21
6,35,2012,25
6,35,2013,24
6,35,2014,23
6,35,2015,22
6,35,2016,13
6,35,2017,19
6,35,2018,17
6,35,2019,18
6,41,2008,4
6,41,2009,4
6,41,2010,5
6,41,2011,5
6,41,2012,5
6,41,2013,8
6,41,2014,9
6,41,2015,8
6,41,2016,11
6,41,2017,13
6,41,2018,9
6,41,2019,8
6,42,2008,1
6,42,2009,1
6,42,2010,1
6,42,2011,1
6,42,2012,1
6,42,2013,1
6,42,2014,1
6,42,2015,1
6,42,2016,1
6,42,2017,1
6,42,2018,1
6,42,2019,1
6,43,2008,6
6,43,2009,4
6,43,2010,5
6,43,2011,5
6,43,2012,4
6,43,2013,4
6,43,2014,2
6,43,2015,5
6,43,2016,6
6,43,2017,5
6,43,2018,8
6,43,2019,7
6,50,2010,1
6,50,2011,1
6,50,2012,1
6,50,2013,1
6,50,2014,1
6,50,2015,1
6,50,2016,1
6,50,2018,1
6,50,2019,1
6,51,2008,1
6,51,2009,1
6,52,2008,1
6,52,2009,1
6,52,2010,1
6,52,2011,1
6,52,2012,1
6,52,2013,1
6,52,2014,1
6,52,2015,1
6,52,2016,1
6,53,2013,2
6,53,2014,2
6,53,2015,2
6,53,2016,2
6,53,2017,2
6,53,2018,1
6,53,2019,1
7,11,2008,1
7,12,2008,1
7,12,2009,1
7,12,2010,1
7,12,2011,1
7,12,2012,1
7,12,2013,1
7,13,2009,1
7,13,2010,1
7,13,2011,1
7,13,2012,1
7,13,2013,1
7,13,2014,1
7,13,2015,1
7,13,2016,1
7,13,2017,1
7,13,2018,1
7,13,2019,1
7,14,2008,1
7,14,2009,1
7,14,2010,1
7,14,2011,1
7,14,2012,1
7,14,2014,1
7,15,2009,1
7,15,2011,1
7,15,2012,1
7,15,2013,2
7,15,2014,2
7,15,2015,1
7,15,2018,1
7,15,2019,1
7,16,2009,1
7,16,2010,1
7,16,2012,1
7,16,2013,1
7,16,2014,1
7,16,2015,1
7,16,2016,1
7,17,2008,3
7,17,2009,3
7,17,2010,2
7,17,2011,1
7,17,2012,1
7,17,2013,1
7,17,2014,1
7,17,2015,1
7,17,2016,1
7,17,2017,1
7,17,2018,1
7,17,2019,1
7,21,2008,1
7,21,2009,1
7,21,2010,1
7,21,2011,1
7,21,2012,1
7,21,2013,1
7,21,2014,1
7,21,2015,1
7,21,2016,1
7,21,2017,1
7,21,2018,1
7,21,2019,1
