co_pcdt,co_cnes_estabelecimento,qt_dispensacao,qt_cns_paciente,nu_competencia_min,nu_competencia_max
2,6503829,39249,1272,201005,201906
2,6516041,2,1,201302,201304
2,6544290,4783,183,201008,201906
2,6552315,11,5,201807,201905
2,6557961,5421,387,201008,201906
2,6565271,2259,139,201009,201906
2,6578640,2166,55,201101,201906
2,6582559,3,2,201808,201904
2,6606040,7,3,201812,201903
2,6631142,11,1,201807,201905
2,6670725,14,4,201810,201905
2,6862802,95,1,201610,201905
2,6911927,136,11,201201,201906
2,6926967,4711,117,201202,201906
2,7043260,1206,35,201207,201906
2,7296967,6,2,201311,201404
2,7296983,458,32,201310,201906
2,7311745,1013,70,201310,201906
2,7375697,1379,48,201403,201705
2,7472935,890,24,201405,201906
2,7661568,911,78,201503,201906
2,8002266,1214,21,200801,201906
2,8003041,1004,26,200801,201906
2,8004714,266,13,201108,201905
2,8006431,187,15,200801,201906
2,9317368,556,26,201711,201906
2,9734872,29,17,201905,201906
2,9784438,12,8,201906,201906
3,3441,12,2,200908,201404
3,6149,46,6,201807,201905
3,7609,70,18,201608,201807
3,11762,2,1,200801,200802
3,21806,129,16,200801,201906
3,2016338,154,32,200803,201811
3,2043955,94,21,200909,201906
3,2044412,29,3,201308,201905
3,2051753,257,34,200801,201906
3,2054434,15,2,201112,201808
3,2058502,5,3,200811,201007
3,2068974,56,11,200801,200904
3,2071339,107,14,200801,201710
3,2076802,475,24,200801,201906
3,2078015,233,67,200801,201005
3,2081695,39,4,200801,200810
3,2088576,5,2,200802,200906
3,2088940,26,6,200801,201612
3,2091461,11,3,200803,200905
3,2091542,12,1,200807,200901
3,2092360,3,2,201203,201710
3,2092603,11,4,200905,201403
3,2092751,9,2,200801,200807
3,2092999,227,14,200801,201510
3,2194406,26,4,200801,201906
3,2198290,10,1,201202,201211
3,2228505,1,1,201407,201407
3,2234351,17,2,201805,201906
3,2244055,7,2,200811,200901
3,2246597,110,9,200802,201906
3,2249456,4,1,201703,201707
3,2251981,6,1,201112,201205
3,2257343,4,1,201802,201806
3,2259745,4,1,201809,201903
3,2265745,1,1,201803,201803
3,2336766,78,10,200801,201906
3,2407418,1982,56,200801,201906
3,2448467,9,1,201711,201807
3,2466120,6,2,201008,201103
3,2479958,13,3,201002,201010
3,2494892,116,9,200802,201906
3,2526867,107,24,201304,201906
3,2531496,79,10,200802,201811
3,2557258,5,1,201904,201906
3,2561417,392,28,200801,201102
3,2561492,6,2,200812,200909
3,2563681,235,37,200802,201303
3,2576546,1,1,201501,201501
3,2583879,87,9,201003,201712
3,2589885,4,4,201005,201702
3,2590441,38,3,200801,201905
3,2602148,6,1,201902,201904
3,2686864,240,7,200801,201906
3,2719991,18,5,200801,201906
3,2747863,36,6,200804,201508
3,2749769,413,33,200801,201906
3,2752697,868,94,200801,201308
3,2752700,1,1,200801,200801
3,2752727,39,18,200910,200912
3,2767457,63,4,201105,201906
3,2767465,28,1,201612,201903
3,2767473,1,1,201901,201901
3,2767481,29,2,201103,201812
3,2768259,10,2,201303,201803
3,2768267,96,1,201106,201902
3,2768275,2,1,201501,201503
3,2768399,44,5,200903,201303
3,2768402,194,8,200804,201906
3,2768410,164,8,200801,201712
3,2768429,40,3,200908,201902
3,2768445,48,5,200905,201205
3,2768461,6,2,201810,201902
3,2768488,1,1,201902,201902
3,2768518,2,1,200911,201001
3,2768526,42,4,200804,201712
3,2774526,167,6,200801,201906
3,2777606,284,15,200801,201906
3,2779528,26,1,200806,201008
3,2781948,10,1,201712,201906
3,2783746,41,1,200801,201205
3,2784432,279,17,200809,201906
3,2785250,2,1,200801,200803
3,2786214,132,9,200801,201906
3,2792354,53,11,200802,201905
3,2792907,240,31,200804,201906
3,2816741,373,20,200801,201711
3,2818256,69,5,200807,201805
3,3469972,58,14,200801,201603
3,3503038,505,31,200801,201801
3,3542734,14,2,201205,201304
3,3554481,112,11,201008,201906
3,3554503,421,36,200907,201906
3,3554538,255,25,200906,201906
3,3586677,1,1,201003,201003
3,3629848,3,1,200906,201008
3,3653404,243,4,200801,201906
3,3781658,360,20,200801,201901
3,3846393,78,5,200801,201906
3,3890538,165,9,200801,201906
3,3933822,14,3,200802,200901
3,4013581,232,33,200801,201906
3,4016017,95,18,200802,201804
3,4021398,27,1,201802,201904
3,4028066,2,1,201904,201905
3,4028163,6,1,201810,201904
3,4033663,4,2,201903,201905
3,4046374,351,27,200801,201905
3,4054016,165,3,200801,201906
3,4069463,368,39,200809,201906
3,5450616,17,3,200909,201207
3,5604613,29,5,200804,201906
3,5823234,23,4,201001,201602
3,5968607,138,13,201010,201906
3,6009492,200,14,200811,201906
3,6018599,24,3,200810,201610
3,6022219,4,2,201511,201707
3,6047904,43,3,201707,201906
3,6055117,53,7,200908,201708
3,6059538,3,1,201110,201112
3,6214266,72,2,201302,201809
3,6277373,19,10,201003,201108
3,6323715,10,4,201012,201110
3,6352782,3,1,201408,201410
3,6471188,9,4,201509,201906
3,6503829,309,45,201006,201905
3,6544290,15,2,201012,201404
