"co_pcdt","sg_procedimento"
59,CICLOSP50
59,ENTE05
59,ENTE10
59,IMUN100
59,IMUN1000
59,IMUN500
59,IMUN600
59,LAMI10240
59,LAMI150
59,LAMO100
59,MICO180
59,MICO360
59,MICO500
59,RIBA250
59,SACA1005
59,SEVE800
59,SINV20
59,SIRO1
59,SULF500
59,TACR1
59,TACR5
59,TENO300
59,TENO3001000
60,ACIT10
60,ACIT25
60,ADAL40
60,ALFA4000
60,AZAT50
60,CALC025
60,CALC200
60,CALC5030
60,CICLOSP10
60,CICLOSP100
60,CICLOSP10050
60,CICLOSP25
60,CICLOSP50
60,CLOB0530
60,CLOB0550
60,ETAN25
60,HIDR400
60,INFL1010
60,ISOT20
60,METO25
60,METO252
60,RALO60
60,SEVE800
60,SULF500
61,AZAT50
61,CIPR50
61,FLUD01
61,GOSS1080
61,GOSS360
61,LEFL20
61,LEUP1125
61,LEUP375
61,SOMA12
61,SOMA4
61,TOPI100
61,TOPI25
61,TOXI500
61,TRIP1125
61,TRIP375
62,AZAT50
62,CICLOFO50
62,DANA100
62,DANA200
62,IMUN05
62,IMUN10
62,IMUN25
62,IMUN30
62,IMUN50
62,IMUN60
63,ALFA4000
63,BECL400
63,CALC025
63,CALC10
63,CINA30
63,CINA60
63,DESF500
63,HIDR230
63,PARI501
63,SALB100200
63,SEVE400
63,SEVE800
64,ADAL40
64,ALEN10
64,ALFA23000000
64,ALFA4000
64,AZAT50
64,CICLOSP10
64,CICLOSP100
64,CICLOSP10050
64,CICLOSP25
64,CICLOSP50
64,CODE30
64,INFL1010
64,MESA1000
64,MESA1100
64,MESA250
64,MESA3100
64,MESA400
64,MESA500
64,MESA800
64,RIBA250
64,SACA1005
64,SULF500
64,TACR1
65,IMUN05
65,IMUN10
65,IMUN25
65,IMUN50
65,IMUN60
66,CIPR50
67,SOMA12
67,SOMA4
68,ALFA4000
68,AZAT50
68,CALC025
68,CICLOFO50
68,CICLOSP10
68,CICLOSP100
68,CICLOSP10050
68,CICLOSP25
68,CICLOSP50
68,MICO360
68,MICO500
68,SACA1005
68,SEVE800
68,TACR1
68,TACR5
69,CLOP75
70,ALFA4000
70,CALC025
70,DEFE125
70,DEFE250
70,DEFE500
70,DESF500
70,SEVE800
71,AZAT50
71,CICLOSP10
71,CICLOSP100
71,CICLOSP10050
71,CICLOSP25
71,CICLOSP50
71,METI500
71,MICO180
71,MICO360
71,MICO500
71,TACR1
72,AZAT50
72,CICLOSP100
72,CICLOSP10050
72,CICLOSP25
72,CICLOSP50
72,METI500
73,ALFA1000
73,ALFA10000
73,ALFA2000
73,ALFA3000
73,ALFA4000
73,AZAT50
73,CICLOSP10
73,CICLOSP100
73,CICLOSP10050
73,CICLOSP25
73,CICLOSP50
73,FILG300
73,METI500
73,MOLG300
73,SIRO1
73,TACR1
74,AZAT50
74,CICLOSP100
74,CICLOSP10050
74,CICLOSP25
74,CICLOSP50
74,METI500
74,TACR1
74,TACR5
75,ALFA10000
75,ALFA2180
75,AZAT50
75,CICLOFO50
75,CICLOSP10
75,CICLOSP100
75,CICLOSP10050
75,CICLOSP25
75,CICLOSP50
75,EVER05
75,EVER075
75,EVER1
75,FILG300
75,METI500
75,MICO180
75,MICO360
75,MICO500
75,SACA1005
75,SINV10
75,SIRO1
75,TACR1
75,TACR5
76,ACIT10
76,ALFA10000
76,ALFA2000
76,ALFA4000
76,ATOR10
76,ATOR20
76,AZAT50
76,CALC025
76,CICLOFO50
76,CICLOSP10
76,CICLOSP100
76,CICLOSP10050
76,CICLOSP25
76,CICLOSP50
76,EVER05
76,EVER075
76,EVER1
76,IMUN05
76,IMUN25
76,IMUN50
76,IMUN60
76,ISOT20
76,LOVA20
76,MESA500
76,METI500
76,MICO180
76,MICO360
76,MICO500
76,PANC12000
76,RISP1
76,SACA1005
76,SEVE800
76,SINV10
76,SINV20
76,SIRO1
76,SIRO160
76,SIRO2
76,TACR1
76,TACR5
77,CLOZ100
77,CLOZ25
77,LAMO100
77,LAMO25
77,LAMO50
77,OLAN10
77,OLAN5
77,QUET100
77,QUET200
77,QUET25
77,QUET300
77,RISP1
77,RISP2
77,RISP3
77,TOPI100
78,CLOZ100
