"co_pcdt","sg_uf","nu_competencia_min","nu_competencia_max","qt_municipios_atendimento","qt_municipios_paciente","qt_secretarias","qt_cns_pacientes","qt_00a20","qt_21a40","qt_41a60","qt_61a00","qt_sexof","qt_sexom","qt_obito_paciente","qt_cid","qt_sigtap","qt_registros","qt_aprovada","vl_aprovado_ipca","qt_redesbr1","qt_redesbr2","qt_redesbr3","qt_redesbr4","qt_redesbr5"
29,CE,200801,201906,24,182,6,9081,94568,70219,39217,12375,122378,94005,8,9,23,216383,13381778,5283328.13,71059,5595,8081,0,131648
29,RN,200801,201906,13,143,6,2459,20190,20344,11746,5646,29790,28139,0,9,20,57929,3839435,1928902.94,17165,0,14479,0,26285
29,PB,200801,201906,20,206,9,3139,32115,33169,17042,9277,46156,45447,2,9,26,91603,4685993,1579152.55,47848,0,43755,0,0
29,PE,200801,201906,14,140,7,2404,57344,46518,16426,3762,60335,63715,16,9,22,124050,9319476,2765147.28,10030,0,623,0,113397
29,AL,200801,201906,9,75,7,937,18355,10404,3910,1860,17142,17387,8,9,20,34529,2183667,576958.55,10737,0,23792,0,0
29,SE,200801,201906,11,65,4,757,14896,10892,4724,1316,15796,16032,7,9,18,31828,2053091,896963.14,11113,0,0,0,20715
29,BA,200801,201906,36,375,5,6265,53275,65443,26937,6678,72861,79489,5,9,21,152350,12449995,3981925.95,57296,8416,10857,0,75781
29,MG,200801,201906,47,784,6,15525,294910,324932,259733,57579,470177,466978,0,9,22,937155,78869296,36869784.76,106213,33054,407066,72349,318473
29,ES,200801,201906,16,78,6,4725,75039,86320,72012,20914,131680,122605,24,9,27,254285,17632600,5242299.92,0,20501,94086,0,139698
29,RJ,200801,201906,10,91,6,4658,40762,32781,28550,12641,59706,55028,0,9,26,114734,9008505,2093815.58,0,0,23953,4390,86391
29,SP,200801,201906,50,643,9,97046,943505,1248493,1289087,546096,2275543,1751654,107,9,25,4027197,265735416,89921867.71,0,68856,655277,440695,2862369
